ID,Title,"Tax Status"
7486,"Look at the Moon Necklace",taxable
7488,"Look at the Moon Necklace",none
7492,"Luna Ring",taxable
7495,"Luna Ring",none
7543,"My Aura is Gold and Diamonds Studs",taxable
7546,"My Aura is Gold and Diamonds with a Montana Sapphire Necklace",taxable
7603,"Palm Band",taxable
7605,"Palm Band",none
7608,"Palm Band",none
7609,"Palm Band",none
7610,"Palm Band",none
7611,"Palm Band",none
7646,"Plumeria Band",taxable
7753,"Sunshine Band",taxable
7755,"Sunset Diamond Ring",taxable
7800,"Triton Band",taxable
7813,"Twist Band",taxable
7821,"Daisy Band",taxable
7824,"Violet Band",taxable
7843,"Moon Band",taxable
8338,"Teal Sapphire Martini Studs",taxable
8339,"Green Sapphire Martini Studs",taxable
8340,".5ctw Diamond Martini Studs",taxable
8341,"1.0ctw Lab Grown Diamond Martini Studs",taxable
8343,"2.0ctw Lab Grown Diamond Martini Studs",taxable
8344,"2.6ctw Lab Grown Diamond Martini Studs",taxable
8345,"Turquoise Bubble Studs",taxable
8346,"Claw Diamond Studs",taxable
8347,"Claw Studs",taxable
8349,"Chalcedony Dagger Studs",taxable
8350,"Diamond in the Rough Studs",taxable
8352,"Door Knockers with Malachite",taxable
8353,"Door Knockers with Sunstone",taxable
8354,"Moss Agate Hex Studs",taxable
8355,"Rutilated Quartz Hex Studs",taxable
8356,"Sapphire Hex Studs",taxable
8357,"Turquoise Hex Studs",taxable
8358,"Huggie Hoops Large",taxable
8359,"Huggie Hoops Medium",taxable
8360,"Huggie Hoops Small",taxable
8361,"Mabe Pearl Studs",taxable
8363,"My Aura is Silver Studs",taxable
8365,"Stardust Dangle Jackets Long",taxable
8366,"Stardust Dangle Jackets Short",taxable
8367,"Linear Studs with Teal Sapphires",taxable
8368,"Trio Studs",taxable
8372,"5 Stone Dusk Capsule Necklace",taxable
8375,"Rutilated Quartz Hex Necklace",taxable
8404,".3ctw Diamond Martini Studs",taxable
8469,"5 Stone Land and Sea Capsule Necklace",taxable
8473,"5 Stone Oceans Capsule Necklace",taxable
8593,"Single Diamond Capsule Necklace",taxable
8605,"The Genesis",taxable
8663,"Angled Halo Ring",taxable
8664,"Angled Halo Ring",none
8665,"Angled Halo Ring",none
8666,"Angled Halo Ring",none
8667,"Angled Halo Ring",none
8703,"Australis Crown Band",taxable
8704,"Australis Crown Band",none
8705,"Australis Crown Band",none
8706,"Australis Crown Band",none
8707,"Australis Crown Band",none
8713,"Borealis Crown Band",taxable
8714,"Borealis Crown Band",none
8715,"Borealis Crown Band",none
